Speaker Name,Speaker Title,Speaker Description
Ananth Menon,Musician,"Ananth Menon is a guitarist and singer from Bangalore, India. Ananth has been active in the blues and rock scene for the last 16 years and is one of Bangalore’s most recognisable voices today."
Neha Bagaria,"Founder, Jobsforher","Neha Bagaria is the founder & CEO of JobsForHer, an online platform to connect women with companies, community and skilling to start, restart and rise in their careers. Over the last five years, JobsForHer has worked with over 1.7 million women, 7000+ companies, 1000+ mentors and 400+ reskilling partners across India to enable women to accelerate their careers."
Vladi Ruppo,"Founder, Beautiful Years","Vladi Ruppo is a seasoned software executive with almost 30 years of international experience. Born and brought up in St. Petersburg, Russia, he worked for 12 years in Jerusalem, Israel, before moving to Bangalore to set up a branch office of a British MNC. After stepping out of his role as VP, Engineering, CISCO, Vladi now wants focus on Beautiful Years, an elder care startup that aims to improve the lives of senior people and of those who care for them by facilitating mutual support, bringing innovative products, and providing socially reviewed listings of elder care services."
Kamran Elahian,Innovation Catalyst,"Kamran Elahian is Chairman of the BIT-AMENA Center for Building Innovation Economies at the Haas School of Business at UC Berkeley. As an entrepreneur, Kamran co-founded ten companies, of which three failed and six produced a total market cap of over $8B. As a VC, Kamran co-founded Global Catalyst Partners with investments in the U.S., Japan, China, India, Israel and Singapore. Underlying his global vision is the conviction that modern ICT can be instrumental in dissolving barriers between nations and bridging the social and political differences among people. As an innovation catalyst, he advises various governments on the needed transition from fossil based economies to sustainable innovation economies"
Akshay Nanavati,"Veteran, Adventurer, Entrepreneur","Akshay Nanavati is a Marine Corps veteran, an adventurer, an entrepreneur and the creator of Fearvana. A recovery from drug addiction, PTSD from fighting the war in Iraq, and a battle with alcohol that pushed him to the brink of suicide, Akshay decided to dedicate his life to mastering the forces that drive human behavior."
Nirali Kartik,Musician,Nirali is an Indian Classical Vocalist from Mumbai. She nurtured the dream of being a classical vocalist from her childhood; backed by support from her parents and her music Guru Vikas Parikh. Nirali was the recipient of Shrestha Sadhaka Award by Gujarat Sangeet Academy.
Shannon Olsson,"Global Director, Echo Network","With more than 20 years experience as a chemical ecologist, Shannon combines cutting-edge science with compassionate listening to help communities, organizations, businesses, and governments develop sustainable climate resilience that incorporates their needs and values. Shannon is the founder and Global Director of the echo network, an international social innovation model that uses the scientific process to ensure better translation of new knowledge & technologies to enhance sustainable development in emerging economies. Shannon also serves through the echo network’s international hub as Special Scientific Envoy to India with the Danish Academy of Technical Sciences (ATV)."
Sanvar Oberoi,Agricultural Entrepreneur,"Sanvar Oberoi is the Co-Founder and Director of Finance and Digital Technology at Bombay Hemp Company (BOHECO), a hybrid social enterprise transforming agriculture in developing economies. BOHECO is South Asia’s pioneering help company and is working with governements, scientists, farmers, industry and consumers globally to build an end-to-end ecosystem and self sustaining model which unleashes the supercrop’s tremendous socio-economic and environmental benefits at large scale."
Vicky Roy,Photographer,"Vicky Roy ran away from home as child and became a ragpicker to earn pocket money. He found refuge at a NGO for street children where he met a photographer that changed his life. Despite his turbulent past, Vicky pursed his passion for photography in which he was selected to photo document the reconstruction of the World Trade Center in NYC. Today, Vicky focuses on helping the disadvantaged by giving them a voice through his photography."
Krushnaa Patil,Mountain Climber,"In May 2009, Krushnaa Patil became the youngest Indian woman to successfully climb Mount Everest. Patil was also the first Indian woman to climb the highest peaks in Antarctica, South America and Europe, and has successfully climbed the highest peaks on six of the seven continents. Patil is currently pursuing her MA in Political Science from Pune University."
Rani Paruchuri,"Managing Director & CEO, Dream Tekis","Rani Paruchuri is a serial entrepreneur, visionary and technologist with over 22 years of experience in information technology. She served with Intel Technologies for several years prior to founding Dream Tekis, a software products company for building B2B core insurance enterprise products. A well-recognized and respected name in the realm of corporate training in the domain of ERP and Sun Technologies in India, Rani’s brand equity lies in the rare combination of a passion for success, practical business sense and undoubtable technical expertise"
Aaron Maniam,Ministry of Trade and Industry (Singapore),"Aaron Maniam is currently Director (Industry) at Singapore’s Ministry of Trade and Industry, responsible for coordinating economic policies and regulating the manufacturing, services and tourism sectors, as well overseeing long-term economic transformation. He joined the Singapore government in 2004, serving on the North America Desk of the Foreign Service (2004-2006) and at Singapore’s Embassy in Washington DC (2006-2008), where he was the principal coordinator for Congressional liaison and issues relating to the Middle East. He was posted to the Strategic Policy Office (SPO) at the Public Service Division in 2008, where he worked on scenario planning and analysis of long-term trends relevant to Singapore. He was appointed the first Head of the Singapore Government’s newly-formed Centre for Strategic Futures (CSF) in January 2010, while retaining his SPO portfolio. In July 2011, Aaron was appointed Director of the Institute of Policy Development at the Civil Service College (CSC), which organizes leadership training programmes for public sector talent (the top 1% of the public sector workforce). In 2012, he started the CSC Applied Simulation Training (CAST) Laboratory, an experiment to apply principles of “serious play” to training public officers to deal with complex environments. He led efforts to develop the College’s curriculum on complexity science, and convened the College’s multi-sector interest groups on Complexity and Governance."
Nancy Margried,"Co-Founder & CEO, Piksel Indonesia Company","Nancy Margried is the CEO and Co-founder of Piksel Indonesia Company, an enterprise that focuses on creative industries. She also created Batik Fractal and jBatik Software in 2007 to spread innovation to empower traditional artisans, giving them the tools, technology and skills to help them develop their crafts. Nancy was the recipient of the UNESCO Award of Excellence in 2008, was named Google Innovator Hero in 2013, and presented at APEC 2013. Nancy’s team is currently establishing a cooperative in Bandung, Indonesia, which aims to empower the community and bring them out of poverty"
Tania Luna,Entrepreneur. Educator,"Tania Luna loves pit bulls and elephants. She also teaches psychology, writes non-fiction and fiction, helps companies increase employee and customer happiness, and is CEO of a very surprising company. She moved to the U.S. from Ukraine as a child, and has been living in New York City ever since – a place she adores for its unpredictability"
Saba Ghole,"Architect, Urban Designer, Entrepreneur","Saba Ghole is an architect and urban designer turned education and technology entrepreneur. As the Co-Founder and Chief Creative Officer of NuVu Studio, Saba leads a innovation center for middle and high school students. NuVu’s focus on creativity and experimentation sets the stage for students to collaborate with experts on projects ranging from new medical technologies to interactive games to brainwave-generated music and art."
Vinay Venkatraman,"Designer. Entrepreneur, Innovator","Vinay Venkatraman is the co-founder and partner at CIID (Copenhagen Institute of Interaction Design). Vinay helps shape the strategy and content for CIID through consulting, teaching and research lead initiatives. He is trained as product & interaction designer in India and Italy. His works in the past have spanned design of consumer products, software and film visual effects. He currently spends his time between creating new education curriculums, shaping policy initiatives for the Danish government and consulting large global companies on innovation around new product experiences and design strategy."
Andrea Colaço,INK Fellow from The MIT Media Lab,"Andrea hails from Goa, and is currently a PhD student at the MIT Media Lab. Her research focuses on creating novel user interfaces in the smart-everything era. Recently, she invented a miniature, low-power 3D sensor for touch-less gestural input to mobile devices and other wearable tech (like the Google Glass). Andrea is also an aspiring tech entrepreneur – her startup, 3dim, is producing a compact, low-power mobile 3D camera. In her spare time she enjoys mentoring young geeks. In 2010 she co-founded the Media Lab Design and Innovation workshop series, conducted annually in partnership with top Indian universities"
Jason Hsu,"Legislator, Taiwan","Jason Hsu is an educator, design thinker, storyteller and learner of nature. A former journalist for Taiwan News, in 2008 Jason co-founded The Big Question Conference as a way to facilitate, build conversation and network among the youth in Asia. In 2009, he co-founded TEDxTaipei and has been serving as TEDx Ambassador since 2010. Recent work has involved building a new type of school that fosters peer-to-peer, project-based learning and online social learning; the “Starters School” is built upon the theory of beehives and mutualism. Currently, Jason is involved in the creation of Good Lab, a collaborative co-working space in Taipei"
Allan Lim,"CEO, Alpha Biofuel & CO-Founder, Comcrop","Allan graduated from Nanyang Technological University in 1999 with a Bachelor’s Degree in Engineering. Since then, he has embarked on startup projects varying from microbial research to biodegradable plastics. In 2005, he was awarded the Spirit of Enterprise Award by President SR Nathan for his entrepreneurial spirit and his efforts in promoting this mindset among youth. Allan has served on the panel of judges for the Startup@Singapore business plan competition and has mentored groups of young people aiming to launch businesses in Singapore"
Dheeraj Roy,"Presidential graduate fellow, MIT","Dheeraj is a neuroscientist and Presidential Graduate Fellow at MIT. Following his graduation, Dheeraj pursued a prestigious research assistantship at Harvard University, where he realized his passion for neuroscience. He has been at MIT since 2013, in the lab of Prof. Susumu Tonegawa, who received the 1987 Nobel Prize in Physiology & Medicine."
Ritesh Agarwal,"Founder & CEO, OYO","Ritesh is the founder & CEO of OYO, India’s largest branded network of hotels. 22-year-old Ritesh started travelling across India when he was 17 and realized that the lack of predictable and affordable hotels was plaguing the Indian hospitality sector."
Anousheh Ansari,First female Space Tourist,"On September 18, 2006, Anousheh Ansari captured headlines as the first female private space explorer travelling to and staying onboard of International Space Station. Back on Earth, as a successful serial entrepreneur, Anousheh returned to her job as co-founder and chairman of her latest technology company, Prodea Systems."
Vishal Gondal,"Founder & CEO, GOQII Inc.","While most kids were grappling with the realities of growing up, Vishal took a head start and started his first company – FACT, soon after finishing school at the ripe young age of 16."
G V Keshav Reddy,"Business Development, GVK Airports","Keshav is a third generation entrepreneur from the Indian conglomerate, GVK. He graduated with a MBA degree from MIT Sloan School of Management and an Industrial & Operations Research Engineering degree from UMich-Ann Arbor. Keshav is a Board Member of GVK Biosciences, GM-Commercial at GVK Mumbai Airport and Managing Partner at the Family Office, Reddy Futures Fund."
Rohini Nilekani,"Founder-Chairperson, Arghyam","Rohini Nilekani is the Founder-Chairperson of Arghyam, a Foundation she set up with a private endowment to work on water and sanitation issues in India. She is also founder of Pratham Books, a charitable trust which seeks to put “a book in every child’s hand”."
K. T. Rama Rao,ITEC Minister,"Sri Kalvakuntla Taraka Rama Rao, is the current Industries and IT Minister in the Government of Telangana. Popularly referred to as KTR, K.T. Rama Rao comes from a family of politicians, his father being the founder of the Telangana Rashtra Samithi. KTR holds dual masters degrees in biochemistry and business management from CUNY. He represented his party and directed his efforts in convincing India’s Central Government to pass the Andhra Pradesh Reorganisation Act in 2014. Under his leadership top corporations such as Apple, Google, Amazon and Uber, have set up their largest bases outside the US in Hyderabad."
Amitabh Kant,"CEO, Niti Aayog","The National Institution for Transforming India (NITI), is a Government of India initiative that aims to catalyze India’s developmental process; creating an enabling environment through partnerships, think tanks and information sharing through cooperative federalism."
Kailash Satyarthi,Nobel Peace Price Laureate,"Kailash Satyarthi is a human rights activist from India who has been at the forefront of the global movement to end child slavery and exploitation since 1980. He founded Bachpan Bachao Andolan (BBA) as the first people’s movement for social justice, equity, and education for all children in India. In the last 37 years his efforts have resulted in the rescue of over 86,000 children and adults from child labour, trafficking and other exploitative situations in India."
Gadhadar Reddy,"CEO, NOPO Nanotechnologies India Pvt. Ltd","Gadhadar has been passionate about space since childhood. He pursued this interest by attending summer schools  about  Space and also received an Honors Diploma in Space Sciences. In these courses, he learned Quantum Physics to explain stability and evolution of stars. This coupled with a burning desire to build stuff led him to Nanotechnology. The poster child of Nanotechnology for Space Applications being Carbon Nanotubes."
Shekar Naik,"Mentor, India Blind Cricket Team","Shekar Naik was born completely blind to an economically weak family in Shimoga, who couldn’t afford even an eye check up. When he was 8, he underwent surgery with the help of a health check-up camp organized in his village, and managed to regain sight in one of his eyes."
Nivruti Rai,General Manager- Intel India,"Nivruti Rai is vice president in the Data Center Group (DCG) and general manager of Intel India at Intel Corporation. Based in Bengaluru, she provides overall engineering and business unit leadership and leads operations for the site, driving innovation, cross-group efficiencies and execution for engineering teams delivering global products and roadmaps. She also leads engagements with national and local governments and policymakers, as well as collaboration with ecosystem players to enable innovation and entrepreneurship."
Aditi Avasthi,"Founder and CEO, EMBIBE","Aditi Avasthi is the founder and CEO at Embibe – an edtech platform leveraging deep tech and data science to personalise education delivery across markets. In her quest to maximise learning outcomes for every student, Aditi has spearheaded the company’s evolution into the world’s leading artificial intelligence platform for education with numerous inventions and patents to create tangible impact on student learning. Before Embibe, Aditi has held global positions including heading the mobile banking product for Barclays Africa, leading tech corporate development for Barclays’ mobile commerce launch in the US and leading new business sales for TCS in the UK."
Saad Nasser,"Co-Founder, ATI Motors","Saad is an engineering prodigy who dropped out from school at age 10 to pursue his own education. He has recently turned 15 and handles technology at Ati where he works across autonomy, power electronics and vehicle design. He has been doing online courses since the age of 10 and completed numerous MOOC’s on edX, Coursera, and Udacity."
Sunil Rao,Partner (Business services) - LSIP,"Sunil Rao joined Lightspeed India Partners Advisors LLP (LSIP) in 2016 as a Partner (Business Services) and is focused on providing a broad range of business development, recruiting and value-add services to the Lightspeed India portfolio companies."
Vanitha Narayanan,"Chairman, IBM India Private Limited","Vanitha Narayanan is the Chairman of IBM India Private Limited. She was appointed to this leadership position in January 2017, to leverage her IBM experience and extensive market knowledge. Vanitha works with government, clients and the ecosystem to build strategic plans & the intersection of industry and technology. She spearheads transformational initiatives and plays a critical role in enhancing IBM’s significant footprint in India to serve Indian and global clients"
Vikram Kailas,"Vice Chairman & Managing Director, Mytrah Energy",N/A
Somdev Devvarman,"Co-Founder &Trustee, Life is a Ball Public Charitable Trust","Somdev is a former professional tennis player, who started his career playing tennis in the NCAA, representing the University of Virginia. He made it to three consecutive finals at the NCAA, winning back-to-back finals in junior and senior years. His 44-1 win-loss record in 2008 is tied for the best in NCAA history."
Pooja Dhingra,"Founder, LE15 Patisserie Pvt. Ltd.","Pooja Dhingra is the founder of Le15 Patisserie and Studio Fifteen Culinary Centre in Mumbai. Pooja has also opened her first cafe at Colaba in 2016 called Le15 Cafe in collaboration with a culinary school friend called Pablito Naranjo. Armed with a degree in hospitality from Cesaz Ritz College, Switzerland and a Patisserie Diploma from Le Cordon Bleu. Pooja returned home with the single goal of creating Parisian styled culinary experiences in India."
Yash Dongre,"Business Lead, House of Anita Dongre Ltd.","Yash Dongre heads the American side of the business at House of Anita Dongre. Having completed his post-graduation in International Marketing from Hult Business School, USA, he is currently spearheading the company’s expansion strategy in the US and recently launched the company’s first store in New York."
Prabhat Labh,"CEO, Grameen Foundation India","Prabhat Labh is an international development expert with over two decades of experience in leading programs and initiatives across Asia, Africa and North America. Prabhat brings deep domain knowledge in financial inclusion, enterprise development and livelihoods sectors."
Aneesh Vidyashankar,Wireless Walking Violinist,"Once a prodigy on the violin Dr.Aneesh Vidyashankar is hailed as India’s most melodious infusion violinist. A Qualified architect, he is creative mastermind in designs."
Prerna Sharma,"Assistant Professor, India Institute of Science","Prerna Sharma is a scientist and Assistant Professor of Physics at the Indian Institute of Science (IISc), Bangalore. She is an experimentalist in the area of soft matter and biophysics. She studied at the Tata Institute of Fundamental Research, Mumbai for a Ph.D degree and followed that up with a three-year post-doctoral fellowship at Brandeis University, USA."
Dr. Suhas G.Kshirsagar,"Director, Ayurvedic Healing Inc.","Dr. Suhas Kshirsagar, B.A.M.S., M.D. (Ayurveda) is a world-renowned Ayurvedic physician and educator from India, the director of the Ayurvedic Healing and Integrative Wellness Clinic in Northern California, and a best selling author of The Hot Belly Diet. He holds a B.A. in Ayurvedic medicine and completed a three-year residency as an M.D. (doctorate in Ayurvedic internal medicine)with a gold medal at the prestigious Pune University. He is an advisor and consultant at the Chopra Center and a faculty member at several Ayurvedic institutions. He is an acclaimed motivational speaker, formulator and researcher. He has been featured on numerous radio and television shows like NBC, Dr. OZ show and many others."
Dr. P. Raghu Ram,"Director , Kims-Ushalakshmi centre for breast diseases","Amongst the foremost surgeons from South Asia, Dr. P. Raghu Ram was conferred the prestigious Padma Shri by Hon’ble President of India in 2015 making him the youngest surgeon ever from South India, and equally, one of the youngest doctors from India to have received one of the highest civilian awards of the land. He also achieved the rare distinction to become the youngest surgeon ever from Telangana & Andhra Pradesh to have been conferred the coveted Dr. B.C Roy National Award by Hon’ble President of India for the year 2016 in recognition of his ‘Outstanding service for Socio medical Relief’."
Raghu Gullapalli,"Executive Director, L.V. Prasad Eye Institute","Raghu is the Executive Director of Emerging Technologies for L.V. Prasad Eye Institute and the newly founded, LVP Eye Innovations Lab.  He is the project leader for the pipeline of products and solutions being created in the Center for Technology, Center for Ophthalmic Engineering and Center for Regenerative Medicine."
Dr. Ananda Shankar Jayant,Classical dancer,"Ananda inhabits the worlds of administration, academics, and arts, straddling them with equal ease. Celebrated as one of India’s most eminent classical dancer, choreographer and scholar. Ananda’s artistic body of work, spans mythologies and abstraction, historical chronicles, and women studies, poetry abstraction, philosophy and humour."
Jai Natarajan,"VP, Technology and Marketing, IMERIT","iMerit employ hundreds of underprivileged youngsters in the digital economy. Innovation teams work with iMerit to handle their data needs so that they can focus on advanced computing tasks in Machine Learning, NLP, Computer Vision and Augmented Reality. VP of Technology and Marketing, Jai Natarajan builds and leads the platform team (for iMerit’s enterprise service delivery platform) and the solutions engineering team (which integrates custom toolchains for customers). He also applies his creative background to their strategy, marketing and communications, as they continue to evolve their unique blend of social impact and business."
Farid Ahsan,"CEO, Sharechat","Farid is the Co-Founder of ShareChat, India’s homegrown social network, and also the leading local language platform of India. He has a Bachelor’s degree from the IIT, Kanpur (2014)."
Jay Krishnan,"CEO, T-HUB","“A passionate entrepreneur, thinker-doer, who believes in turning ideas into reality”"
R. Madhavan,Actor,"R. Madhavan is an Indian actor, writer and film producer. He has received three Filmfare Awards and an award from the Tamil Nadu State Film Awards along with recognition and nominations from other organisations. He has been described as one of the few actors in India who is able to achieve pan-Indian appeal, having appeared in films from seven different languages."
Andra Keay,"Managing Director, Silicon Valley Robotics","Andra Keay is the Managing Director of Silicon Valley Robotics, non-profit industry group supporting innovation and commercialization of robotics technologies. Andra is also founder of Robot Launch global startup competition and a mentor, investor and advisor to startups, accelerators, thinktanks, with a strong interest in commercializing socially positive robots and AI."
Vita Dani,"Chairperson, 11Even Sports","A go-getter with tremendous passion and enegy, Vita Dani resembles the new age woman of today, who is keen to make a substantial difference in the world through sports and philanthropic activities."
Dia Mehhta Bhupal,"Artist, Dia Mehta Bhupal studio","Dia Mehta Bhupal originally from Mumbai, now works and practices in Hyderabad, India. Educated at The Parsons School of Design in New York, she holds a BFA in Photography. Prior to enrolling at Parsons, Dia completed her foundation studies at Central Saint Martins College of Art and Design, London. During her time at both Parsons and St. Martins, Dia has focused extensively on photography, with a particular emphasis on redefining everyday images as commonly interpreted by society. Dia creates fine art photography, primarily working with the constructed image."
Travis Wu,"Founder & Storyteller, Lumierever","Travis co-founded LumiereVR with the determination to bring empathetic cinema to life through Virtual Reality. He uses his background in computer science to build tools and and softwares that empower and challenge filmmakers to explore new depths with this new medium. Now LumiereVR not only employs a suite of productions tools and workflow, but are also partnering with artists and corporations, setting up VR theatres across the United States to make VR content available to the general public."
A.N Venugopal,"President, RMZ Foundation","Venugopal has extensive experience of over 35 years mainly in the real estate industry, in project development of commercial, residential, hospitality and mixed use projects in India."
Judith Amores Fernandez,"Research assistant and PHD student, MIT MEDIA LAB","Judith is a Ph.D student and Research Assistant in the Fluid Interfaces Group, MIT MediaLab. She graduated from MIT with a Masters in Media Arts and Sciences, she helped run VR/AR at MIT as a co-president. She holds a Multimedia Engineering degree from LaSelle University, Barcelona, Spain and has a Computer Science background, design focused on UX, UI and filming."
Susan Lim,Surgeon,"Dr Susan Lim is the current Co-chair of the Global Advisory Council of the International Society for Stem Cell Research (ISSCR). At 35, she broke through the gender glass ceiling in transplantation surgery and became the first in Asia, and the second woman in the world to have performed a successful cadaveric liver transplant. Since then, Susan’s desire to discover that next big thing has kept her actively focused on robotics and stem cell research. She strongly believes that as society increasingly embraces technology, communication and interactions will extend beyond humans to robots and other inanimates."
Advait Gupt,"Managing Partner, Supari Studios","Advait is the co-founder & Managing Partner at Supari Studios. In late 2012, at the age of 26, Advait quit his job as an investment analyst at a VC firm to join hands with his younger brother Akshat to pursue opportunities in the emerging digital content space and set up Supari Studios. With a strong focus on online  video, Supari has developed a body of work that ranges from interactive video content to immersive virtual reality experiences. Advait is currently focussed on growing the company’s capabilities across three primary functions – original content, branded online video and new media technology."
Dr. Kalyan Veeramachaneni,"Principal research Scientist, MIT","Dr. Kalyan Veeramachaneni is a Principal Research Scientist at the Laboratory for Information and Decision System (LIDS) at MIT. He directs a research group called Data to AI in the new MIT Institute for Data Systems and Society(IDSS). Kalyan believes that artifical intelligence and machine learning can have a powerful impact in a variety of societal arenas, from education and public health to transportation and e-commerce. His group aims to solve the foundational issues currently preventing these techniques from reaching their full potential, and their recent work focuses on making human interactions with data seamless and efficient."
Ankit Durga,"CO-Founder AND COO, Leap Skills Academy PVT LTD","Ankit is the Co-Founder and Chief Operating Officer at Leap Skills. He is the driving force behind the innovation and technology based approach at Leap. As an impact oriented skill-development organisation, Leap mentors’ train and provide employment opportunities to students, unemployed youth and existing workforce through technology and classroom training. Over the last 4 years, Leap has trained over 6000 learners across 11 states in India through various programs and workshops."
Lakshmi Pratury,"Founder, Host, Curator","Lakshmi Pratury brought TED to India in 2009, when the first TEDIndia conference was held in Mysore. In December 2010, she curated and hosted the first INK Conference, in association with TED, which carried forward the momentum created by TEDIndia. Lakshmi Pratury brings with her a varied and rich experience that spans for-profit enterprises, venture capital and nonprofit organizations. Featured in the list of ‘100 Most Powerful Women’ by Forbes Asia in 2010, Lakshmi has traversed an incredible distance professionally."
Usha Uthup,The Voice,"For over 44 years now, Usha Uthup has spread a message of love and unity, peace and harmony, tolerance and integrity, and happiness – through music. From discotheques to concerts, across India and the World, she has addressed the youth about the values of music that makes us human.  She lives as she believes, presenting even the most contemporary songs dressed in traditional attire projecting the fact that India is a true melting pot of cultures, with its own distinctive cultural identity."
Zuni Chopra,Teen Author,"Amongst the youngest on the Indian literary landscape, Zuni Chopra is focused on carving a world of fantasy and wonder.With a zest for writing, the teen author has a growing repertoire of published work to her credit, including two collections of poetry, her first novel, The House That Spoke(published in January 2017 by Penguin India) and the most recent publication, a collection of short stories, The Island of the Day Before. She has contributed articles to Vogue India and Hindustan Times and was shortlisted for Young Author Awards 2018. Enamoured by the works of T.S. Eliot, Neil Gaiman and Lewis Carroll, Zuni continues to juggle writing with the academic pressure from school, and draws constant encouragement from her six dogs!"
Sunny Singh,"Serial Entrepreneur; Founder, Roundglass","Gurpreet ‘Sunny’ Singh is a serial entrepreneur devoted to healthcare accessibility and wellbeing. In 1996 he founded Edifecs, an industry leader delivering innovative, integrated solutions for the healthcare ecosystem. It is now one of the fastest-growing health-care technology companies in the United States. He established SabTera, a philanthropic foundation that works with under-resourced communities to provide wholistic schooling for children and sustainable employment for women."
Tony Fadell,"Ipod Inventor, Iphone Co-Inventor, Nest Founder","Tony is an active investor and entrepreneur with a 30+ year history of founding companies and designing products that profoundly improve people’s lives. He is the Principal at Future Shape LLC, an investment and advisory firm coaching deep tech startups. Currently, Future Shape is coaching 200+ startups innovating game-changing technologies. He is the founder and former CEO of Nest, the company that pioneered the “Internet of Things.” Tony was the SVP of Apple’s iPod Division and led the team that created the first 18 generations of the iPod and the first three generations of the iPhone. Throughout his career Tony has authored more than 300 patents. In May 2016, TIME named the Nest Learning Thermostat, the iPod and the iPhone as three of the “50 Most Influential Gadgets of All Time.”"
Sanjay Podder,"Eisenhower Fellow and MD, Accenture Labs India","Sanjay is an Eisenhower Fellow and Managing Director at Accenture Labs India. He is responsible for driving software engineering, R&D and leads the company’s Technology4Good program.  Sanjay is passionate about using the combinatorial power of technology for building a more inclusive and sustainable world. He believes that as a software engineering researcher, he can solve some of the greatest challenges facing mankind with data science, digital and design thinking."
Bharat Kaul,"Director, Intel Labs/Parallel Computing Labs (India)","Bharat is the Director at Intel Labs/Parallel Computing Labs (India). In his 2-decade career at Intel, Bharat has held several technical and management leadership positions within product development groups and has been leading the lab for nearly a decade. At Intel Labs, Bharat’s research focuses on application-driven Architectural Performance leadership for Intel for multi-core/many architectures with special focus on Artificial Intelligence and High-Performance Computing. The lab works in close collaboration with leading academic and industry partners across the globe. Most recently, Bharat, along with his other Intel colleagues, contributed to India’s National AI Strategy discussion document that advocated and created Applied Research Centers (ICTAI) focused on Large Scale National Challenges."
Wendy Calhoun,"Television Write and Producer- Empire, Nashville, Justif","A seasoned writer and executive producer, Wendy Calhoun’s rich repertoire of work includes critically-acclaimed shows like Fox’s megahit series, Empire, ABC’s Station 19, Nashville, Revenge, and FX’s Justified; receiving a 2010 Peabody Award for Justified. She has developed new series pilots with Netflix, FX, 20th TV Studios, and ABC Signature; and in a terrific deal with Warner Brothers is currently developing Lean On Me for the CW and Strong Justice for NBC. With a conscious choice of assigning cultural specificity to her characters, she hopes to move the needle on what is considered “good” entertainment. Among her other credits is co-executive producing and writing the historic first season of The virtual reality short, Left Behind, honored as “Best in VR” at Digital Hollywood."
Stefania Magidson,"Philanthropist; Founder and President, Blue Heron Foundation","Founder and president of the Blue Heron Foundation, Magidson is creating a new blueprint for social entrepreneurship."
Devdutt Pattanaik,Mythologist,"Devdutt Pattanaik writes on relevance of mythology in modern times, especially in areas of management, governance and leadership. Trained in medicine, he worked for 15 years in the healthcare and pharma industries before he focussed on his passion full time. He is author of 30 books and 600 columns, with bestsellers such as My Gita, Jaya, Sita, Business Sutra and the 7 Secret Series. He was a speaker at TEDIndia 2009 and spoke on Myths that Mystify, East versus West. His TV shows include Business Sutra on CNBC-TV18 and Devlok on Epic TV. He consults organisations on culture, diversity and leadership and also consults various television channels and filmmakers on storytelling."
Gary Bencheghib,Environmental-and-water Activist and Filmmaker,"Gary is an environmental-and-water activist, and filmmaker. His foundation, Make a Change World, uncovers uplifting and inspirational stories with an aim to give a voice to the underrepresented and bring about social change. With his younger brother Sam Bencheghib, he has launched a series of expeditions – from kayaking the world’s most polluted river in Java on plastic- bottle kayaks, to standup paddling down New York’s most toxic waterways – to bring to light the impact of growing water pollution. In the past 2 years, Gary’s videos have been viewed by over 500 million people worldwide."
Yang Shih-Hao,CYR Wheel Performer,"Yang Shih Hao went viral when his performance in the Cyr wheel hit the web, grossing an immense twenty million views. Originally specializing in hat juggling, Yang went from an being an attendant in the Hong Kong coliseum to a performer on the streets of Taiwan, and is now a member of the esteemed Cirque Eloize. His performance is graceful and seems almost gravity-defying. He has devoted seven years of his life to performing in the circus, touring over twenty countries, showcasing his talent at international circus festivals across the globe."
Ankit Agarwal,"Founder, Phool.co","Ankit Agarwal is the Founder-CEO of Phool. co, a social enterprise that has pioneered the ‘flowercycling®’ technologies to reduce the pollution in the Rivers Ganges, by up-cycling the vast quantities of flower temple waste in India. At Phool.co, over 11.4 tons of temple waste is collected daily in Uttar Pradesh & Bihar and converted into charcoal-free incense and an animal-free alternative to leather called Fleather (PETA’s Best Innovation in the Vegan World 2020)."
Hanif Kureshi,Multidisciplinary artist and Designer,"Hanif Kureshi is a multidisciplinary artist and designer living and working in New Delhi, India. His work is focused on the intersection of art, typography and street culture. He is a creative director and Co-founder of St+art India Foundation which aims at making art accessible to a larger audience in India through the series of street art festivals. His ongoing project,handpaintedtype.com attempts to conserve and archive the vernacular street typography of India. His work has been exhibited at the London Design Biennale, Venice Biennale, Centre Pompidou in Paris, and Triennale Design Museum in Milan, among others."
Dr Sr Jesme,"Academic, Author","With a doctorate in English Literature, Dr Sister Jesme is an academic from Kerala. In 2008 she resigned from her post as the Principal of St. Mary’s College in Trichur. After 33 years of being a nun, she was forced to leave the Congregation of the Mother Carmelite (CMC) for reasons of emotional torment. In 2009 Sr Jesme published the autobiography that shocked the world, ‘Amen: The Autobiography of a Nun’, recounting her experiences of humiliation, sexual abuse and mental torture at the nunnery. Searing, sincere and sensitive, Amen is an eye-opener to what was happening within the Congregation, and a plea for a reformation of the church."
Anjali Gopalan,Human Rights Crusader,"Human Rights Crusader; Activist; Founder and Executive Director, The Naz Foundation (India) Trust"
Jonathan Reiber,"Head of Cybersecurity Strategy, ILLUMIO.",Former Chief Strategy Officer for Cyber Policy and Speechwriter in the Office of the Secretary of Defense
Navneeth Sundar,Musician and Performer,"Navneeth Sundar is a composer, keyboardist, iPad musician and performer. Started as a musical prodigy, Navneeth Sundar owned the stage since a very young age with his performances by creating a distinctive approach to classical-fusion music."
